assuntos;tipos
requer que seja enviado ofício à semsur , solicitando que seja feita a instalação de iluminação especial no túnel sobre avenida dos caiapós , conjunto cidade satélite , bairro pitimbu;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja feita a instalação de iluminação especial nos dois túneis sobre avenida rio tamanduateí , conjunto cidade satélite , bairro pitimbu;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando para que seja feito o deslocamento de uma faixa de pedestre que está localizada na esquina da avenida norton chaves , bairro nova descobertaa mesma esta causando acidentes com os pedestres que trafegam na via , pós os veículos ao fazer a conversão à direta não consegue visualizar a faixa de pedestre , e assim causam acidentes aos transeuntes que trafegam na avenida;REQUERIMENTO
requer que seja enviado o ofício à semov , solicitando a operação tapa buraco na rua das rocas , bairro guarapes , sob o cep 59074680 , próximo a academia da 3ª terceira idade;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avenida antoine de saint ' exupéry bairro pitimbu , sob o cep 59066430;REQUERIMENTO
requer que seja enviado requerimento à semsur , solicitando com a máxima urgência a limpeza geral e poda de árvores da praça pacaembú no conjunto gramoré bairro lagoa azul;REQUERIMENTO
solicitando a pavimentação , da avenida três américa próximo a igreja universal , no bairro lagoa azul , zona norte da capital ;REQUERIMENTO
solicitando a pavimentação , da avenida abolição , no bairro lagoa azul , zona norte da capital ;REQUERIMENTO
solicitando a construção de uma lombada em frente a casa de nº 77 , na rua recife bairro cidade da esperança , zona oeste desta capital;REQUERIMENTO
requer que seja enviado ofício à sel , solicitando uma caçamba de areia para o campo de beach soccer , localizado à rua pastor eustáquio lopes da silva , nossa senhora de nazaré;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a poda de árvores localizadas à rua interventor mário câmara , alecrim;REQUERIMENTO
requer que seja realizada audiência pública , tema ﬁrevisão do plano diretor de natalﬂ , no dia 14 de junho de 2019 , às 9h;REQUERIMENTO
altera a lei nº 6.709/2017 , que `` institui o setembro verde '' , e dá outras providências;PROJETO DE LEI
institui meiaentrada para radialistas em estabelecimentos que proporcionam cultura , lazer e entretenimento no município do natal , e dá outras providências;PROJETO DE LEI
dispõe sobre o cancelamento de créditos extintos por prescrição e decadência , e dá outras providências ;PROJETO DE LEI
ficam os veículos de transporte turístico autorizados a circular nos corredores exclusivos de ônibus , neste município , e dá outras providências;EMENDA EM PRIMEIRA DISCUSÃO PROJETO DE LEI
destina 5 % cinco por cento das vagas de concursos públicos do município de natal para os desempregados , e dá outras providências;PROJETO DE LEI
institui a `` festa de reis '' no calendário oficial da cidade do natal , e dá outras providências;PROJETO PROJETO DE LEI
determina a sustação da portaria nº100/2015 , da secretaria municipal de educação , de 08 de maio de 2015 , e dá outras providências;EMENDA EM PRIMEIRA DISCUSSÃO ESTADO DO RIO GRANDE DO NORTE CÂMARA MUNICIPAL DO NATAL PALÁCIO PADRE MIGUELINHO 3 PROJETO DE DECRETO LEGISLATIVO
concede título de cidadão natalense ao pastor antônio de araújo targino e dá outras providências;PROJETO PROJETO DE DECRETO LEGISLATIVO
requer que seja enviado oficio a semsur , solicitando a limpeza da `` praça das mães '' , situada na rua são josé de campestre lagoa nova ;REQUERIMENTO
requer que seja enviado oficio a semsur , solicitando o aumento de potencia da iluminação dos postes situados da rua são josé lagoa nova/lagoa seca ;REQUERIMENTO
requer que seja enviado oficio a semsur , solicitando a troca de lampada queimada no poste c8 968 , situado na rua walter duarte pereira capim macio;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , requer que seja enviado ofício ao secretário jonny araújo da costa , secretario semsur , solicitando a implantação de um corredor tipo passeio na rua santa helena em frente ao campo de futebol na comunidade novo horizonte no bairro das quintas ;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício ao ilustríssimo secretário municipal da urbana , josivan cardoso moreno , solicitando limpeza , capinação , pinturas e uso de maquinas , na rua santa helena no trecho da avenida 12 com a avenida joão francisco da motta , na comunidade novo horizonte no bairro das quintas;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , requer que seja enviado ofício ao secretário jonny araújo da costa , secretario semsur , solicitando a implantação de um anfiteatro , na rua santa helena , em frente ao campo de futebol na comunidade novo horizonte no bairro das quintas;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a manutenção do poste substituição de pétala da área verde são josé operário localizada na rua do petroleo / rua da ágata / rua da agua marinha primeira etapa do conjunto potilândia ;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores , localizado na avvotuporanga , bairro potengi , cep 59071390 natal rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando terraplanagem , localizado na avvotuporanga , bairro potengi , cep 59071390 natal rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores , localizado na avbom pastor , bairro bom pastor , cep 59052080 natal rn;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhado expediente ao excelentíssimo prefeito da cidade de natal , sr. álvaro dias e ao secretário da semov sr. tomaz pereira de araújo neto , solicitando dos mesmos uma operação tapa buracos na rua miguel castro com rua dos caícos , dix sept rosado , natal/rn , haja visto um grande buraco que está se formando naquele local , propiciando risco de acidentes aos veículos que trafegam por ali;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur jonny costa , solicitando dos mesmos a troca da lâmpada queimada da rua lucas bicalho , postes d2 063 , a6243 , bairro rocas , natal , haja visto que a lâmpada está queimada , e os moradores estão as escuras , a mercê de assaltos;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua prof. fontes galvão , tirol , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpadas nos postes nº c5459 e c5460 , localizado na rua santa matilde bairro nossa senhora da apresentação , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua seridó , bairro de petrópolis;REQUERIMENTO
requer que seja enviado ofício à sttu , a colocação de um semáforo no cruzamento da avenida governador antônio de melo e souza e rua castelo branco , no nova república , bairro do pajuçara;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua manoel machado , bairro de petrópolis;REQUERIMENTO
requer que seja realizada sessão popular , tema desafios e agenda francisca de oliveira , situada à rua lindolfo gomes vidal , 230 , loteamento algimar , no bairro pajuçara , em natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à semurb , solicitando o serviço de identificação e sinalização de logradouros , no loteamento algimar , bairro pajuçara , natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando o serviço de limpeza e capinação da rua moema tinoco , nas proximidades da academia império fitness , bairro pajuçara , em natal , capital do estado do rio grande do norte;REQUERIMENTO
requer , em caráter de urgência , que seja refeita faixa de pedestre na avenida hermes da fonseca em frente ao museu câmara cascudo;REQUERIMENTO
requer a secretaria municipal de educação sme , que seja apresentado a câmara municipal de natal o mapeamento das escolas municipais que constem matrículas de alunos surdos e pessoas com deficiência auditiva;REQUERIMENTO
solicita à secretaria municipal de saúde sms medicamentos e insumos para a unidade básica de saúde ubs do nova natal , localizada na zona norte;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a construção de uma praça , bem como toda revitalização do espaço público ao lado da quadra de esportes do jiqui , localizado entre as ruas junqueiro , maravilha e capela , conjunto jiqui , bairro neópolis , natal/rn ;REQUERIMENTO
requer que seja enviado ofício a semsur , solicitando a reposição de lâmpadas queimadas dos seguintes postes d7196 , d7195 , d7194 , d7193 , d7192 , d7190 , todos localizados na travafonso 15 , bairro passo da pátria , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando em caráter de urgência a podação das árvores da praça tarcísio maia , situada na avenida das alagoas , conjunto pirangí , primeira etapa , bairro neópolis , natal/rn ;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza e capinação da rua manoel machado , nº 81 , em frente ao núcleo de amparo ao menor nam , no bairro felipe camarão , zona oeste de natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza e capinação da área da praça da paz , no conjunto santa catarina , localizada na rua rodeio com a rua cabo frio e a rua leblon régis , próximo a upa , conjunto santa catarina , bairro potengi , zona norte de natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a instalação de uma lixeira de metal , tamanho grande , na guarita vizinho a estação de trem do bairro alecrim , zona leste de natal/rn;REQUERIMENTO
requer votos de congratulação pelo transcurso do dia da aviação de caça , comemorado no dia 22 de abril de 2019;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua duque de caxias , próximo ao itep , no bairro da ribeira;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando capeamento asfáltico no largo ubaldo bezerra , no bairro de candelária;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a operação tapa buracos na avprudente de morais , entre as avbernardo vieira e avalexandrino de alencar , no bairro de lagoa seca , natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza do canteiro central da avnascimento de castro , entre as avprudente de morais e rua dos tororós no bairro de lagoa nova , natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a retirada de entulhos na rua trairí no início da ladeira do bairro de mãe luiza , natal/rn;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria municipal de obras públicas e infraestrutura semov , solicitando o serviço de assentamento de paralelepipedos na rua abdon trigueiro , no bairro de parque dos coqueiros;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria municipal de obras públicas e infraestrutura semov , solicitando o serviço de pavimentação asfáltica na rua vale do jaguaribe , entre a rua alvorada do norte e a avenida tomaz landim , no bairro de parque dos coqueiros;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria municipal de serviços urbanos semsur , solicitando a troca do piso e dos equipamentos da academia da terceira idade , que está localizada na avbrigadeiro gomes ribeiro , no bairro nova descoberta;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpadas queimadas nos postes de nº m61 869 , m61 870 , m61 871 , localizados na travrio mar , bairro salinas , zona norte de natal;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a implantação de braços com luminária nos postes de nº l70 199 , l70 200 , l70 201 , l70 202 e m26 819 , localizados na rua marcos domingos leite , bairro salinas , zona norte de natal;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação da 2ª travmarcos domingos leite , bairro salinas , zona norte de natal;REQUERIMENTO
requer envio ofício semov operação tapa buracos av n s do rosário felipe camarão zona oeste;REQUERIMENTO
requer que seja enviado ofício á urbana , solicitando operação limpeza geral do canteiro da rua serra negra , ao redor do terminal de integração do solidade , na rua severino ramos montenegro , bairro potengi , no conjsoledade ii;REQUERIMENTO
requer que seja enviado ofício a urbana , solicitando limpeza geral na lateral do campo de futebol , na rua max santana no bairro de cidade nova , natal/rn;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando a pintura seja refeita a pintura da faixa de pedestre localizada em frente à escola estadual josé fernandes machado , rua praia de muriú , conjunto ponta negra , bairro ponta negra;REQUERIMENTO
requer que seja enviado ofício à sel , solicitando que seja feita a revitalização da quadra poliesportiva localizada em uma área verde entre a avenida ayrton senna e as ruas américo soares wanderley e walter duarte pereira , bairro neópolis;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando para que sejam realizados os serviços de limpeza , capinação , pintura do meiofio e retirada de entulhos da área verde localizada entre a avenida ayrton senna e as ruas américo soares wanderley e walter duarte pereira , bairro neópolis;REQUERIMENTO
requer que seja enviado o requerimento à urbana , solicitando a limpeza geral capinação , parte interna e externa em torno da igreja santa paula , na rua pedro de souza com a travpedro de souza bairro bom pastor , sob o cep 59060161;REQUERIMENTO
requer que seja enviado o ofício à semov , solicitando a operação tapa buraco na rua são domingos , km6 sob cep 59072410 , em frente a oficina luiz diesel , no bairro felipe camarão;REQUERIMENTO
requer que seja enviado o ofício à sms secretaria municipal de saúde , solicitando a complementação das quatro equipes de saúde da ubs e o retorno da fisioterapia no bairro pajuçara;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando reparo na pavimentação da ruados ganzás esquina com a rua do aboio no conjunto nova natal , bairro lagoa azul , natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza de uma área verde localizado entre a avflorianópolis , próximo/ou em frente à ruapedras grandes , conjunto santa catarina bairro potengi , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando reparo na pavimentação da ruazé limeira esquina com a rua dos violeiros no conjunto nova natal , bairro lagoa azul , natal/rn;REQUERIMENTO
acrescenta e dá nova redação aos dispositivos da lei orgânica do município de natal , inserindo o princípio da transparência das contas públicas dentre os demais princípios da administração pública;PROJETO DE EMENDA À LEI ORGÂNICA
estabelece normas e cria o cadastro estadual de pessoas físicas e jurídicas de veículos que efetuam a exploração e transporte de de água potável no município de natal , e dá outras providências;EMENDA ENCARTADA PROJETO DE LEI
dispõe sobre a obrigatoriedade da inclusão de frases de incentivo a leitura nas contas de água e luz que especifica;PROJETO DE LEI
ficam os veículos de transporte turístico autorizados a circular nos corredores exclusivos de ônibus , neste município , e dá outras providências;PROJETO DE LEI
dispõe sobre a autorização para concessão de bolsa para residentes em medicina de família e comunidade na rede de serviços do sus do município de natal e dá outras providências;PROJETO DE LEI
destina 5 % cinco por cento das vagas de concursos públicos do município de natal para os desempregados , e dá outras providências;PROJETO PROJETO DE LEI
dispõe sobre o cancelamento de créditos extintos por prescrição e decadência , e dá outras providências;PROJETO DE LEI
determina sobre os as trabalhadores as terceirizados da câmara municipal de natal , e dá outras providências;EMENDA E OS PARECERES DAS COMISSÕES TÉCNICAS QUE SÃO FAVORÁVEIS E EM PRIMEIRA DISCUSSÃO ESTADO DO RIO GRANDE DO NORTE CÂMARA MUNICIPAL DO NATAL PALÁCIO PADRE MIGUELINHO 3 PROJETO DE RESOLUÇÃO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpada queimada no poste nº g7 330 , situado na rua alterosa conjunto pirangi i etapa neópolis ;PROJETO REQUERIMENTO
requer que seja enviado ofício à sms , solicitando a reforma do anexo da unidade básica de saúde do conjunto jiqui;REQUERIMENTO
requer que seja enviado oficio à semsur , solicitando a realização da limpeza da praça marechal deodoro , situada na avenida das alagoas conjunto jiqui;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , requer que seja enviado ofício ao secretário jonny araújo da costa , secretario semsur , solicitando implantação de uma área coberta de conivência para jogos , como domino , xadrez , aliado e outros , ao lado da quadra de esporte da rua aristófanes fernandes no bairro do bom pastor;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , requer que seja enviado ofício ao secretário jonny araújo da costa , secretario semsur , solicitando a implantação de uma academia da 3ª idade , na rua santa helena , em frente ao campo de futebol na comunidade novo horizonte no bairro das quintas;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício ao secretário , tomaz pereira de araújo neto , titular da semov , solicitando desobstrução e reconstrução de galeria na rua freitas com a rua nossa senhora da glória no bairro bom pastor;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores , localizado na rua minas nova , bairro neópolis , cep 59088725 natal rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores , localizado na rua minas nova , bairro neópolis , cep 59088725 natal rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando substituição de lâmpadas amarelas por lâmpadas de led , localizado na rua porto alegre , bairro cidade da esperança , cep 59071390 natal rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando terraplanagem , na rua são cristóvão no bairro quintas , cep 59056290 natal rn;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur jonny costa , solicitando dos mesmos a troca dos refletores do campo de futebol do monte libano , bom pastor , natal , haja visto que que o mesmo encontrase com alguns refletores apagados , atendendo aos esportistas daquela comunidade;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur tomaz pereira de araújo neto , solicitando dos mesmos uma operação tapa buracos na rua prescastelo branco , monte libano , bom pastor , natal , atendendo ao pleito dos moradores daquela rua , haja vista que a rua encontrase intransitável;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca da lâmpada no poste nº g1532 , localizado na rua minraimundo de brito , lagoa nova , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação da avnila jales , lagoa azul , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua cláudio machado , bairro de petrópolis;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua miramar , entre a rua capmor gouveia e edvar reis , bairro da praia do meio;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da travessa bom jesus , bairro da ribeira;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando o serviço de limpeza e capinação da rua radialista luiz cordeiro , bairro pajuçara , em natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à semurb , solicitando o serviço de identificação e sinalização de logradouros , no loteamento riomar , bairro pajuçara , natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o serviço de drenagem e pavimentação da rua jardim brasil , loteamento jardim brasil , bairro pajuçara , natal , capital do estado do rio grande do norte;REQUERIMENTO
requer à urbana , limpeza das bocas de lobo das avenidas a seguir avaçude de santa rita de cássia e avbarragem armando ribeiro , no conjunto brasil novobem como , avcomunidade e ação , no loteamento jardim brasil e avmar mediterrâneo , parque das dunas , pajuçara;REQUERIMENTO
requer à semsur , em caráter de urgência , a implantação de braço do poste xo4 655 em frente a casa nº 04 na rua vale do sol , loteamento itamarati bairro pajuçara/potengi , zona norte de natal;REQUERIMENTO
requer que sejam enviados votos de congratulações à associação das voluntárias assistenciais do instituto juvino barreto avajub pelos seus 25 anos de voluntariado;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a realização de serviço de drenagem e pavimentação na rua serra do vento , localizada no conjunto parque dos coqueiros , no bairro de nossa senhora da apresentação;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a realização de serviço de drenagem e pavimentação na rua das tulipas negras , localizada no conjunto parque dos coqueiros , no bairro de nossa senhora da apresentação;REQUERIMENTO
requer que seja enviado ofício a semsur , solicitando a reposição de lâmpadas queimadas dos seguintes postes a6 725 , l9 714 rua décio fonseca , poste a6 725 rua vereador cauby barroca , poste a6 740 , rua mestre lucarino , bairro rocas , natal/rn;REQUERIMENTO
requer nos termos regimentais da câmara municipal do natal , que seja enviado ofício ao sr. secretário , jonny costa , titular da secretaria municipal de serviços urbanos semsur , solicitando a podação de uma grande árvore que se encontra na praça da rua miramar , rocas , natal/rn;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando uma faixa de pedestre na avdas fronteiras com a avenida tomaz landim , próximo ao supermercado nordestão , na lateral da loja insinuante , bairro de igapó , zona norte de natal/rn ;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando uma faixa de pedestre na avdas fronteiras , em frente a maternidade da mulher , no conjunto santa catarina , zona norte de natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza geral capinação , da lateral do posto de saúde do conjunto vista verde , que se encontra com bastante mato , bairro pajuçara , zona norte de natal/rn ;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua interventor mário câmara com a avlima e silva , no bairro nossa senhora de nazaré;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando informações se há algum projeto de urbanização do antigo horto da cidade da esperança , localizado na avpiauí com rua garanhuns , bairro cidade da esperança , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o nivelamento da rua elias de souza , conjunto boa vista , bairro planalto , ao lado do cmei clara camarão , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a substituição das lâmpadas dos postes a7957 e a7958 que estão queimadas , por lâmpadas mais potentes na avnascimento de castro , bairro lagoa nova , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a limpeza e manutenção da boca de lobo , entre as ruas ulisses guimarães e r. josé acácio de macedo ao lado de acácio bebidasbairro redinhacep59122145;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a limpeza e manutenção da boca de lobo , entre as ruas da gameleira e rua são franciscobairro redinhacep 59122600 ;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação na travessa sem nome que está localizada próximo ao anel viário da redinha , entre as ruas conselheiro tristão e padre cícero romão;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria municipal de obras públicas e infraestrutura semov , solicitando o serviço de pavimentação asfáltica na avenida bumba meu boi , no bairro de nova natal;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria municipal de obras públicas e infraestrutura semov , solicitando o serviço de pavimentação asfáltica na rua poeta revoredo neto , entre a avenida piloto carlos del prestes e a avenida caboclinhos , no bairro nordelandia;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria municipal de obras públicas e infraestrutura semov , solicitando o serviço de pavimentação asfáltica na rua tijuana , entre a avenida piloto carlos del prestes e a avenida caboclinhos , no bairro nordelandia;REQUERIMENTO
requer que seja registrado voto de pesar por 1 ano de falecimento da sramaria lenice tavares custódio , mais conhecida como `` nice conselheira '' , ocorrido no dia 29 de abril de 2018;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpadas queimadas nos postes de nº a3 633 / a3634 , localizados na rua construtor severino bezerra , bairro salinas , zona norte de natal;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação da rua marcos domingos leite , bairro salinas , zona norte de natal;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando instalação de uma placa de proibido parar e estacionar para substituir a anterior que já não se encontra na rua general francisco montenegro , nº 371 lagoa nova;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando operação caçamba para a retirada de lixo acumulado na travessa dr. monteiro de medeiros , com as ruas da jurema e rua mamoeiro , no conjmar del plata , bairro do potengi.. ;REQUERIMENTO
requer que seja enviado ofício a sttu , solicitando construção de uma lombada quebra mola e instalação de placas de sinalização proibido estacionar na avsolange nunes do nascimento com a travsolange nunes do nascimento , no bairro de cidade nova natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua da tamarineira felipe camarão , natal rn , 59074080 em frente a escola maria queiroz;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando instalação de sinal na avdr. joão medeiros filho com a avguadaluape em frente a caixa econômica federal;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando pavimentação da travessa couto magalhães , bairro nossa senhora da apresentação;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja feita a poda das árvores da área verde localizada entre as ruas maracanã , cisnes e pintassilgos , conjunto cidade satélite , bairro pitimbu;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando para que sejam realizados os serviços de limpeza , capinação , pintura do meiofio e retirada de entulhos da rua patativas , no trecho entre algarobas e pintassilgos;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja feita a poda das árvores da área verde localizada entre avenida ayrton senna e as ruas fernando de noronha , pernambuco e alameda dos bouganvilles , conjunto neópolis , bairro neópolis;REQUERIMENTO
requer que seja enviado o ofício à sel , solicitando as reformas gerais das quadras de esportes localizadas nos conjuntos cidade satélite e bancários bairro pitimbu , de acordo com a emenda impositiva totalizando no valor de r $ 516.000,00 quinhentos e dezesseis mil reais destinada a essa secretaria sel;REQUERIMENTO
requer que seja enviado o ofício à semov , solicitando a realização da drenagem no cruzamento da avenida juliano moreira com a rua toritama , no conjunto pajuçara ii bairro pajuçara , sob o cep 59131430;REQUERIMENTO
requer que seja enviado o ofício à sms secretaria municipal de saúde , solicitando a criação da central de exames laboratoriais na zona norte;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza da calçada de terreno à rua américo soares wanderley , capim macio;REQUERIMENTO
requer que seja realizada sessão solene para entrega de título de cidadão natalense aos senhores francesco farruggia e dino lincoln figueirôa , no dia 03 de junho de 2019 , às 9h , em local externo às dependências da câmara municipal;REQUERIMENTO
requer que seja realizada sessão solene para entrega de título de cidadão natalense ao senhor andré laurindo maitelli , no dia 22 de agosto de 2019 , às 19h;REQUERIMENTO
cria a frente parlamentar em defesa da educação pública na câmara municipal de natal , e dá outras providências;PROJETO DE RESOLUÇÃO
dispõe sobre a elaboração e diretrizes do protocolo municipal de atenção às mulheres em situação de violência e no município de natal;PROJETO DE LEI
município de natal , e dá outras providências;PROJETO DE LEI
dispõe sobre o cancelamento de créditos extintos por prescrição e decadência , e dá outras providências;PROJETO DE LEI
dispõe sobre a prevenção e o combate ao assédio sexual na administração pública municipal direta , autárquica e fundacional , e dá outras providências '';EMENDA E APÓS EM PRIMEIRA DISCUSÃO E VOTAÇÃO OS PARECERES DAS COMISSÕES TÉCNICAS QUE SÃO FAVORÁVEIS PROJETO DE LEI
cria a comenda municipal vereadora marielle franco , a ser entregue às mulheres que se destacarem pelos direitos humanos na cidade do natal;PROJETO PROJETO DE RESOLUÇÃO
requer que seja enviado oficio a semsur , solicitando a poda de árvore situada na rua alterosa em frente a casa 4903 conjunto pirangi i etapa bairro neópolis;REQUERIMENTO
requer que seja enviado oficio à semsur , solicitando a instalação do braço e lâmpada nos postes g7 329 , g7 334 situado na rua alterosa conjunto pirangi i neópolis;REQUERIMENTO
requer que seja enviado oficio à semsur , solicitando a poda de árvores situadas na rua araxáconjunto piranjgi i etapa bairro neópolis;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando , terraplanagem da rua monte celeste com a rua navegador délio otton , localizada no bairro planalto natalrn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na 3ª travessa tenente souza da cunha lima , bairro pajuçara natal rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avda integração , bairro pajuçara natal rn;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur jonny costa , solicitando dos mesmos a troca da lâmpada queimada da rua vicente egberto cavalcante , postes eg 613 875 , 616 ntl 283 , bairro capim macio natal;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. carlos eduardo e ao secretário da semov tomaz pereira de araújo neto , solicitando dos mesmos uma operação tapa buraco , na rua jerusalém , bom pastor , atendendo a pedidos de moradores daquela localidade;REQUERIMENTO
requer na forma regimental deste poder legislativo , seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. carlos eduardo e ao secretário da semov tomaz pereira de araújo neto , solicitando dos mesmos uma operação tapa buraco , na rua presidente castelo branco , conjmonte libano , bom pastor;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua tereza campos , lagoa nova , natal/rn;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja agendada reunião da frente parlamentar em defesa da gestão pública que ocorrerá no dia 06 de junho do corrente ano , às 08:00 horas , no plenário desta casa legislativa;REQUERIMENTO
requer à semov , em caráter de urgência , que seja apresentado a câmara municipal de natal projeto da obra de drenagem da rua santa luzia bairro igapó , com cronograma para finalização e prestação de contas dos recursos destinados ;REQUERIMENTO
requer à sttu , em caráter de urgência , retirada de uma lombada , na rua nossa senhora do rosário , em felipe camarão , zona oeste;REQUERIMENTO
