,assunto,n requerimento,partido,vereador
274,"solicitando a reforma da quadra de esportes, localizado na rua rizomar correia dos santos. próximo/ou em frente a igreja batista  bairro, nossa senhora da apresentação, natal/rn. ",00890/2019,requer, vera. nina souza- pdt assunto:      
275," - requer que seja enviado ofício à urbana, solicitando para que sejam realizados os serviços de limpeza, capinação, pintura do meio-fio e retirada de entulhos de toda extensão do canteiro central da rua dos tororós, bairro lagoa nova. ",00849/2019,psdb,ver.  paulinho freire 
276," - requer que seja enviado ofício à semov, solicitando que seja feita a pavimentação no sistema bripar, na rua hiroshi ienaga, bairro pajuçara. ",00850/2019,psdb,ver.  paulinho freire 
277," - requer que seja enviado ofício à semov, solicitando que seja feita a operação tapa buraco nas ruas união dos palmares, maceió, ivo soares da cruz, atalaia, divinópolis e cataguases, localizadas nos conjuntos jiqui e pirangi, bairro neópolis. ",00851/2019,psdb,ver.  paulinho freire 
278,"- requer que seja enviado ofício à semov solicitando a operação tapa buraco na rua alameda das mansões, bairro candelária, sob o cep 59064-740. ",00730/2019,patriota,ver.  preto aquino 
279,"- requer que seja enviado o ofício à semsur, solicitando a poda de árvores e retirada do mato na rua da azinheira, 7727, conjunto satélite  bairro pitimbu, sob o cep 59068-430. ",00733/2019,patriota,ver.  preto aquino 
280,"- requer que seja enviado o requerimento à urbana, solicitando a limpeza geral (capinação, parte interna e externa) em torno da praça santa paula frassinetti na rua paraiso do norte, conjunto vida nova - bairro bom pastor, sob o cep 59052-080. ",00808/2019,patriota,ver.  preto aquino 
281,"solicitando a recuperação do calçamento, na rua: otávio rodrigues  bairro: nova cidade, zona oeste da capital. ",00796/2019,requer,ver.  raniere barbosa  avante   assunto:     
282,"solicitando faixa de pedestre, na rua: industrial joão francisco da mota (na altura do nº 25) - bairro: quintas, zona oeste, desta capital. ",00797/2019,requer,ver.  raniere barbosa  avante   assunto:     
283,solicitando a limpeza do parque da cidade com nivaldo monte. ,00785/2019,requer,ver.  robson carvalho  pmb assunto:     
284,"solicitando pavimentação da travessa boa vista, bairro nossa senhora de nazaré. ",00868/2019,requer,ver.  robson carvalho  pmb assunto:     
285,"o tema: ""alienação parental"", dia 23/04/19, às 9h. ",00872/2019,requer,ver.  robson carvalho  pmb assunto:     
286,solicitando a poda de árvore situada na rua alterosa em frente a casa 4903 conjunto pirangi i etapa  bairro neópolis. ,00972/2019,requer,vera. ana paula- psdc assunto:      
287,"solicitando a instalação do braço e lâmpada nos postes: g7 329, g7 334 situado na rua alterosa- conjunto pirangi i  neópolis. ",973/2019,requer,vera. ana paula- psdc assunto:      
288,solicitando a poda de árvores situadas na rua araxá. conjunto piranjgi i etapa  bairro neópolis. ,00975/2019,requer,vera. ana paula- psdc assunto:      
289,"- requer que seja enviado ofício à semov, solicitando, terraplanagem da rua monte celeste com a rua navegador délio otton, localizada no bairro planalto - natal-rn. ",00770/2019,pros,ver.ª carla dickson 
290,"- requer que seja enviado ofício à semov, solicitando operação tapa buraco na 3ª travessa tenente souza da cunha lima, bairro pajuçara  natal rn. ",00931/2019,pros,ver.ª carla dickson 
291,"requer que seja enviado ofício à semov, solicitando operação tapa buraco na av. da integração, bairro pajuçara natal rn. ",00933/2019-,pros,carla dickson 
292,"na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur  jonny costa, solicitando dos mesmos a troca da lâmpada queimada da rua vicente egberto cavalcante, postes eg 613 875, 616 ntl 283, bairro capim macio  natal. ",00947/2019,pdt,ver. chagas catarino 
293,"na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. carlos eduardo e ao secretário da semov  tomaz pereira de araújo neto, solicitando dos mesmos uma operação tapa buraco, na rua jerusalém, bom pastor, atendendo a pedidos de moradores daquela localidade. ",00948/2019,pdt,ver. chagas catarino 
294,"na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. carlos eduardo e ao secretário da semov  tomaz pereira de araújo neto, solicitando dos mesmos uma operação tapa buraco, na rua presidente castelo branco, conj. monte libano, bom pastor. ",00949/2019,pdt,ver. chagas catarino 
295,"que seja enviado ofício à semov, solicitando operação tapa buraco na rua tereza campos, lagoa nova, natal/rn. ",00888/2019,pmb,ver. dinarte torres 
296,"nos termos regimentais da câmara municipal de natal, que seja agendada reunião da frente parlamentar em defesa da gestão pública que ocorrerá no dia 06 de junho do corrente ano, às 08:00 horas, no plenário desta casa legislativa. ",00965/2019,pmb,ver. dinarte torres 
297,"à semov, em caráter de urgência, que seja apresentado a câmara municipal de natal projeto da obra de drenagem da rua santa luzia  bairro igapó, com cronograma para finalização e prestação de contas dos recursos destinados ",00923/2019,pt,vera. divaneide lula basílio 
298,"à sttu, em caráter de urgência, retirada de uma lombada, na rua nossa senhora do rosário, em felipe camarão, zona oeste. ",00939/2019,pt,vera. divaneide lula basílio 
299,"nos termos regimentais, agendamento da data 14/05 do corrente ano, para a realização de audiência pública com objetivos de  ",00967/2019,pt,vera. divaneide lula basílio 
300,"que seja enviado ofício à semsur, solicitando providências para a retirada de poste sem utilização localizado na avenida getúlio vargas, no bairro de petrópolis. ",00941/2019,psl,vera. eleika bezerra 
301,"que seja enviado ofício à sttu, solicitando a instalação de instrumento para redução de velocidade na avenida prudente de morais, em frente à escola estadual mascarenhas homem, no bairro de lagoa nova. ",00942/2019,psl,vera. eleika bezerra 
302,à secretaria municipal de educação - sme uma cobertura para área do refeitório do cmei mailde ferreira pinto galvão. localizada na zona norte de natal. ,00943/2019,psl,vera. eleika bezerra 
303,"solicitando a recuperação da pavimentação e troca das grades de drenagens de concreto, da rua djalma maranhão, bairro nova descoberta, zona sul de natal/rn. ",00924/2019,requer,ver. fernando lucena  pt  assunto:      
304," companhia de águas e esgotos do rio grande do norte, solicitando a reposição dos paralelepípedos da travessa desembargador sinval moreira dias, bairro nova descoberta, zona sul de natal/rn. ",00925/2019,requer,ver. fernando lucena  pt  assunto:      
305,"solicitando pavimentação da rua pantanal, 3ª etapa, conjunto pirangi, bairro neópolis, zona sul  natal/rn.  ",00926/2019,requer,ver. fernando lucena  pt  assunto:      
306,"- requer que seja enviado ofício à semsur, solicitando a podação de árvore na rua camaragibe, próximo ao mercadinho florânia, no bairro mâe luiza. ",00900/2019,psb,ver. franklin capistrano 
307,"- requer que seja enviado ofício à semsur, solicitando a restauração e manutenção da praça dos eucaliptos, no bairro de candelária. ",00986/2019,psb,ver. franklin capistrano 
308,"- requer que seja enviado ofício à semsur, solicitando a podação de árvores da praça do largo interventor ubaldo bezerra, no bairro candelária.  ",00987/2019,psb,ver. franklin capistrano 
309,"solicitando o recapeamento asfáltico na travessa pernambuco, em frente ao cnei jesiel figueiredo, no bairro cidade da esperança, natal/rn ",00833/2019,requer,ver. fúlvio saulo  sd assunto:      
310,"do prefeito álvaro dias, solicitando o retorno da comissão de licitação para as secretarias de educação e saúde do município de natal/rn. ",00902/2019,requer,ver. fúlvio saulo  sd assunto:      
311,"entrega de título de cidadão natalence ao sr. josé dos santos figueirêdo no dia 17 de abril de 2019, decreto legislativo nº 1443/2019. ",00927/2019,requer,ver. fúlvio saulo  sd assunto:      
312,r caapeba lagoa azul. ,00889/2019,requer,ver. maurício gurgel  psol assunto:      
313,"postes f5- 059 ,rua alice câmara cep 59073-077. ",00955/2019,requerer,ver. maurício gurgel  psol assunto:      
314,rn solicitando seja implantada uma dema na zona oeste. ,00956/2019,requer,ver. maurício gurgel  psol assunto:      
315,"- requer a construção de um busto, na cidade do natal, em homenagem ao ex-presidente café filho. ",00928/2019,psd, vera. ney lopes junior 
316,"- requer que seja enviado a semsur, solicitando poda de árvores, localizada na av acarau-conjunto panatis. ",00966/2019,psd, vera. ney lopes junior 
317,"- requer que seja enviado ofício á semsur. solicitando iluminação do poste d2007, localizado na rua general glicério, ribeira. ",00969/2019,psd, vera. ney lopes junior 
318,"28 de maio de 2019, às 09:00 horas, no plenário desta casa legislativa audiência pública para  ",00932/2019,requer, vera. nina souza- pdt assunto:      
319,"12 de junho de 2019, às 09:00 horas, no plenário desta casa legislativa audiência pública para educação como prioridade, o fundeb não pode acabar ",00953/2019,requer, vera. nina souza- pdt assunto:      
320,"09 de maio de 2019, às 09:00 horas, no plenário desta casa legislativa audiência pública para discutir o discutir a proposta de emenda à constituição federal pec-06/2019 que modifica o sistema de previdência social, estabelecendo regras de transição e disposição transitória e dá outras providências ",00954/2019,requer, vera. nina souza- pdt assunto:      
321," - requer que seja enviado ofício à urbana, solicitando que seja feita a poda das árvores e limpeza de toda extensão do canteiro central da rua estrela do mar, conjunto alagamar, bairro ponta negra. ",00853/2019,psdb,ver.  paulinho freire 
322," - requer que seja enviado ofício àsemsur, solicitando poda das árvores das ruas são braz e cachoeira dourada, localizadas nos conjuntos jiqui e pirangi, bairro neópolis. ",00854/2019,psdb,ver.  paulinho freire 
323,"- requer que seja enviado ofício à semsur, solicitando a limpeza geral com poda de árvores, pintura, capinação e também a troca de lâmpadas queimadas nos 8 (oito) cemitérios públicos (vila de ponta negra , nova descoberta, bom pastor i e ii, alecrim, igapó, pajuçara e redinha. ",00957/2019,patriota,ver.  preto aquino 
324,"- requer que seja enviado o ofício à semdas, solicitando com a máxima urgência a implementação de 4 (quatro) câmara de monitoramento com alta definição na ponte newton navarro. ",00958/2019,patriota,ver.  preto aquino 
325,"- requer que seja enviado a semurb, solicitando a colocação das placas de identificação e de sinalização, discriminando nas mesmas: avenidas, bairros, ruas, conjuntos, loteamento, e ceps da cidade do natal/rn ",00959/2019,patriota,ver.  preto aquino 
326,"dos esportes djalma maranhão, para realização do ensaio geral que será realizado no dia 09/06 do corrente ano, as 09:00 horas, nesta capital. ",00963/2019,requer,ver.  raniere barbosa  avante   assunto:     
327,"popular chico daniel, da mesma fundação supramencionada, para realização da apresentação da 24/06 do corrente ano, as 19:00 horas, nesta capital. ",00964/2019,solicita,ver.  raniere barbosa  avante   assunto:     
328,"de gastronomia, parque infantil e atividades culturais no qual as atrações ocorriam na árvore de mirassol, zona sul dessa capital. ",00974/2019,ém,ver.  raniere barbosa  avante   assunto:     
329,"solicitando a extração de raízes de árvores localizadas à rua da esmeralda, conj. potilândia, lagoa nova. ",00930/2019,requer,ver.  robson carvalho  pmb assunto:     
330,"solicitando a substituição de lâmpadas em postes de número e7361, rua monte sinai, capim macio. ",00937/2019,requer,ver.  robson carvalho  pmb assunto:     
331,"solicitando limpeza e revitalização da quadra de esportes e campo de futebol localizados à rua jequié conj. soledade i, potengi. ",00938/2019,requer,ver.  robson carvalho  pmb assunto:     
332,solicitando a poda de árvore situada na rua alterosa em frente a casa 4903 conjunto pirangi i etapa  bairro neópolis. ,00972/2019,requer,vera. ana paula- psdc assunto:      
333,"solicitando a instalação do braço e lâmpada nos postes: g7 329, g7 334 situado na rua alterosa- conjunto pirangi i  neópolis. ",973/2019,requer,vera. ana paula- psdc assunto:      
334,solicitando a poda de árvores situadas na rua araxá. conjunto piranjgi i etapa  bairro neópolis. ,00975/2019,requer,vera. ana paula- psdc assunto:      
335,"- requer que seja enviado ofício à semov, solicitando, terraplanagem da rua monte celeste com a rua navegador délio otton, localizada no bairro planalto - natal-rn. ",00770/2019,pros,ver.ª carla dickson 
336,"- requer que seja enviado ofício à semov, solicitando operação tapa buraco na 3ª travessa tenente souza da cunha lima, bairro pajuçara  natal rn. ",00931/2019,pros,ver.ª carla dickson 
337,"requer que seja enviado ofício à semov, solicitando operação tapa buraco na av. da integração, bairro pajuçara natal rn. ",00933/2019-,pros,carla dickson 
338,"na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur  jonny costa, solicitando dos mesmos a troca da lâmpada queimada da rua vicente egberto cavalcante, postes eg 613 875, 616 ntl 283, bairro capim macio  natal. ",00947/2019,pdt,ver. chagas catarino 
339,"na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. carlos eduardo e ao secretário da semov  tomaz pereira de araújo neto, solicitando dos mesmos uma operação tapa buraco, na rua jerusalém, bom pastor, atendendo a pedidos de moradores daquela localidade. ",00948/2019,pdt,ver. chagas catarino 
340,"na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. carlos eduardo e ao secretário da semov  tomaz pereira de araújo neto, solicitando dos mesmos uma operação tapa buraco, na rua presidente castelo branco, conj. monte libano, bom pastor. ",00949/2019,pdt,ver. chagas catarino 
341,"que seja enviado ofício à semov, solicitando operação tapa buraco na rua tereza campos, lagoa nova, natal/rn. ",00888/2019,pmb,ver. dinarte torres 
342,"nos termos regimentais da câmara municipal de natal, que seja agendada reunião da frente parlamentar em defesa da gestão pública que ocorrerá no dia 06 de junho do corrente ano, às 08:00 horas, no plenário desta casa legislativa. ",00965/2019,pmb,ver. dinarte torres 
343,"à semov, em caráter de urgência, que seja apresentado a câmara municipal de natal projeto da obra de drenagem da rua santa luzia  bairro igapó, com cronograma para finalização e prestação de contas dos recursos destinados ",00923/2019,pt,vera. divaneide lula basílio 
344,"à sttu, em caráter de urgência, retirada de uma lombada, na rua nossa senhora do rosário, em felipe camarão, zona oeste. ",00939/2019,pt,vera. divaneide lula basílio 
345,"nos termos regimentais, agendamento da data 14/05 do corrente ano, para a realização de audiência pública com objetivos de história dos planos diretores  ",00967/2019,pt,vera. divaneide lula basílio 
346,"que seja enviado ofício à semsur, solicitando providências para a retirada de poste sem utilização localizado na avenida getúlio vargas, no bairro de petrópolis. ",00941/2019,psl,vera. eleika bezerra 
347,"que seja enviado ofício à sttu, solicitando a instalação de instrumento para redução de velocidade na avenida prudente de morais, em frente à escola estadual mascarenhas homem, no bairro de lagoa nova. ",00942/2019,psl,vera. eleika bezerra 
348,à secretaria municipal de educação - sme uma cobertura para área do refeitório do cmei mailde ferreira pinto galvão. localizada na zona norte de natal. ,00943/2019,psl,vera. eleika bezerra 
349,"solicitando a recuperação da pavimentação e troca das grades de drenagens de concreto, da rua djalma maranhão, bairro nova descoberta, zona sul de natal/rn. ",00924/2019,requer,ver. fernando lucena  pt  assunto:      
350," companhia de águas e esgotos do rio grande do norte, solicitando a reposição dos paralelepípedos da travessa desembargador sinval moreira dias, bairro nova descoberta, zona sul de natal/rn. ",00925/2019,requer,ver. fernando lucena  pt  assunto:      
351,"solicitando pavimentação da rua pantanal, 3ª etapa, conjunto pirangi, bairro neópolis, zona sul  natal/rn. ",00926/2019,requer,ver. fernando lucena  pt  assunto:      
352,"- requer que seja enviado ofício à semsur, solicitando a podação de árvore na rua camaragibe, próximo ao mercadinho florânia, no bairro mâe luiza. ",00900/2019,psb,ver. franklin capistrano 
353,"- requer que seja enviado ofício à semsur, solicitando a restauração e manutenção da praça dos eucaliptos, no bairro de candelária. ",00986/2019,psb,ver. franklin capistrano 
354,"- requer que seja enviado ofício à semsur, solicitando a podação de árvores da praça do largo interventor ubaldo bezerra, no bairro candelária.  ",00987/2019,psb,ver. franklin capistrano 
355,"solicitando o recapeamento asfáltico na travessa pernambuco, em frente ao cnei jesiel figueiredo, no bairro cidade da esperança, natal/rn ",00833/2019,requer,ver. fúlvio saulo  sd assunto:      
356,"do prefeito álvaro dias, solicitando o retorno da comissão de licitação para as secretarias de educação e saúde do município de natal/rn. ",00902/2019,requer,ver. fúlvio saulo  sd assunto:      
357,"entrega de título de cidadão natalence ao sr. josé dos santos figueirêdo no dia 17 de abril de 2019, decreto legislativo nº 1443/2019. ",00927/2019,requer,ver. fúlvio saulo  sd assunto:      
358,r caapeba lagoa azul. ,00889/2019,requer,ver. maurício gurgel  psol assunto:      
359,"postes f5- 059 ,rua alice câmara cep 59073-077. ",00955/2019,requerer,ver. maurício gurgel  psol assunto:      
360,rn solicitando seja implantada uma dema na zona oeste. ,00956/2019,requer,ver. maurício gurgel  psol assunto:      
361,"- requer a construção de um busto, na cidade do natal, em homenagem ao ex-presidente café filho. ",00928/2019,psd, vera. ney lopes junior 
362,"- requer que seja enviado a semsur, solicitando poda de árvores, localizada na av acarau-conjunto panatis. ",00966/2019,psd, vera. ney lopes junior 
363,"- requer que seja enviado ofício á semsur. solicitando iluminação do poste d2007, localizado na rua general glicério, ribeira. ",00969/2019,psd, vera. ney lopes junior 
364,"28 de maio de 2019, às 09:00 horas, no plenário desta casa legislativa audiência pública para atualmente vivem nos  ",00932/2019,requer, vera. nina souza- pdt assunto:      
365,"12 de junho de 2019, às 09:00 horas, no plenário desta casa legislativa audiência pública para educação como prioridade, o fundeb não pode acabar ",00953/2019,requer, vera. nina souza- pdt assunto:      
366,"09 de maio de 2019, às 09:00 horas, no plenário desta casa legislativa audiência pública para discutir a proposta de emenda à constituição federal pec-06/2019 que modifica o sistema de previdência social, estabelecendo regras de transição e disposição transitória e dá outras providências ",00954/2019,requer, vera. nina souza- pdt assunto:      
367," - requer que seja enviado ofício à urbana, solicitando que seja feita a poda das árvores e limpeza de toda extensão do canteiro central da rua estrela do mar, conjunto alagamar, bairro ponta negra. ",00853/2019,psdb,ver.  paulinho freire 
368," - requer que seja enviado ofício àsemsur, solicitando poda das árvores das ruas são braz e cachoeira dourada, localizadas nos conjuntos jiqui e pirangi, bairro neópolis. ",00854/2019,psdb,ver.  paulinho freire 
369,"- requer que seja enviado ofício à semsur, solicitando a limpeza geral com poda de árvores, pintura, capinação e também a troca de lâmpadas queimadas nos 8 (oito) cemitérios públicos (vila de ponta negra , nova descoberta, bom pastor i e ii, alecrim, igapó, pajuçara e redinha. ",00957/2019,patriota,ver.  preto aquino 
370,"- requer que seja enviado o ofício à semdas, solicitando com a máxima urgência a implementação de 4 (quatro) câmara de monitoramento com alta definição na ponte newton navarro. ",00958/2019,patriota,ver.  preto aquino 
371,"- requer que seja enviado a semurb, solicitando a colocação das placas de identificação e de sinalização, discriminando nas mesmas: avenidas, bairros, ruas, conjuntos, loteamento, e ceps da cidade do natal/rn ",00959/2019,patriota,ver.  preto aquino 
372,"dos esportes djalma maranhão, para realização do ensaio geral que será realizado no dia 09/06 do corrente ano, as 09:00 horas, nesta capital. ",00963/2019,requer,ver.  raniere barbosa  avante   assunto:     
373,"popular chico daniel, da mesma fundação supramencionada, para realização da apresentação da 24/06 do corrente ano, as 19:00 horas, nesta capital. ",00964/2019,solicita,ver.  raniere barbosa  avante   assunto:     
374,"de gastronomia, parque infantil e atividades culturais no qual as atrações ocorriam na árvore de mirassol, zona sul dessa capital. ",00974/2019,ém,ver.  raniere barbosa  avante   assunto:     
375,"solicitando a extração de raízes de árvores localizadas à rua da esmeralda, conj. potilândia, lagoa nova. ",00930/2019,requer,ver.  robson carvalho  pmb assunto:     
376,"solicitando a substituição de lâmpadas em postes de número e7361, rua monte sinai, capim macio. ",00937/2019,requer,ver.  robson carvalho  pmb assunto:     
377,"solicitando limpeza e revitalização da quadra de esportes e campo de futebol localizados à rua jequié conj. soledade i, potengi. ",00938/2019,requer,ver.  robson carvalho  pmb assunto:     
378,"de natal, que seja enviado ofício ao ilustríssimo secretário municipal, jonny araújo da costa, titular da semsur, solicitando a implantação de luminárias nos postes (p2 663), (p2 655), (l05 723), (l8 931), (l0 721), (p2 653), (p2 664), na rua novo guarapes entre os bairros dos guarapes e planalto. ",01013/2019,requer,ver. aroldo alves- psdb assunto:      
379,"de natal, que seja enviado ofício ao ilustríssimo secretário municipal, jonny araújo da costa, titular da semsur, solicitando a limpeza nas praças wilson miranda em frente à igreja de santos reis, e a praça lindalva taveira, entre ás ruas otoniel menezes e rua hianto de almeida no bairro de santos reis. ",01015/2019,requer,ver. aroldo alves- psdb assunto:      
380,"de natal, que seja enviado ofício ao ilustríssimo secretário municipal da urbana, josivan cardoso moreno, solicitando a limpeza, varredura e pintura de meio fio, de toda extensão da rua flamínio com a travessa flamínio no bairro de santos reis. ",01016/2019,requer,ver. aroldo alves- psdb assunto:      
381,"- requer que seja enviado ofício à semov, solicitando operação tapa buraco na 3ª travessa padre joão maria, bairro felipe camarão œ natal rn. ",00934/2019,pros,ver.ª carla dickson 
382,"                                                                                           assunto:     - requer que seja enviado ofício à semov, solicitando pavimentação da rua shalom, bairro pajuçara, natal-rn. ",00935/2019,pros,ver.ª carla dickson 
383,"- requer que seja enviado ofício à semov, solicitando operação tapa buraco na rua colinas do pajuçara, bairro pajuçara œ natal rn. ",00936/2019,pros,ver.ª carla dickson 
384,"- requer na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao diretor da urbana, josivan cardoso moreno, solicitando dos mesmos limpeza urbana da rua vicente egberto cavalcante, bairro capim macio, natal, atendendo a pedido dos moradores daquela localidade. ",00950/2019,pdt,ver. chagas catarino 
385,"que seja enviado ofício à semov, solicitando a operação tapa buracos e o recapeamento asfáltico, na rua ferreira nobre (guarita), alecrim, natal/rn. ",00952/2019,dem,ver. dagô do forró 
386,"que seja enviado ofício à semsur, solicitando a troca de lâmpadas mistas por lâmpadas metálicas nos postes nº d8298, d8300, d8301, d8303, d8308, d8309, d8313, d8314 e d8317, localizado na rua presidente kennedy œ bairro cidade nova, natal/rn. ",01037/2019,dem,ver. dagô do forró 
387,"que seja enviado ofício à semov, solicitando operação tapa buraco na rua presidente leão veloso com a rua dos caicós, alecrim, natal/rn. ",01036/2019,dem,ver. dagô do forró 
388,"que seja enviado ofício à semov, solicitando uma operação tapa buracos na rua cajazeiras, bairro da cidade da esperança ",00997/2019,psdb,ver. dickson nasser júnior 
389,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua campo maior, no conjunto panatis, bairro potengi. ",00998/2019,psdb,ver. dickson nasser júnior 
390,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua nova friburgo, no conjunto santa catarina, bairro do potengi. ",00999/2019,psdb,ver. dickson nasser júnior 
391,"que seja enviado ofício à semov, solicitando o serviço de capeamento asfáltico no trecho entre as residências nº 308 à nº 268 da travessa atalaia, bairro mãe luiza, natal, capital do estado do rio grande do norte. ",01034/2019,pmb,ver. dinarte torres 
392,que seja apresentado voto de congratulações pelo transcurso do decênio do departamento de políticas públicas da universidade federal do rio grande do norte-dpp/ufrn. ,01035/2019,pmb,ver. dinarte torres 
393,"nos termos regimentais, agendamentos da data 11/06 do corrente ano, para a realização de audiência pública com o objetivo de debater o tema ""política municipal de proteção às mulheres"". ",00968/2019,pt,vera. divaneide lula basílio 
394,"a sme, em caráter de urgência, informações a respeito da falta de alimentos e produtos de limpeza em diversas unidades do cemei (centro municipal de educação infantil), na cidade de natal. ",00971/2019,pt,vera. divaneide lula basílio 
395,ao presidente da mesa diretora declaração de nulidade da decisão da comissão de justiça no último dia 22/04 sobre a suspensão do trâmite do projeto de resolução nº 09/2018. ,01090/2019,pt,vera. divaneide lula basílio 
396,"que seja enviado ofício à semov, solicitando operação tapa buraco na rua são joão batista, em trecho compreendido entre a avenida alberto silva e a rua alzira soriano, em lagoa seca. ",00944/2019,psl,vera. eleika bezerra 
397,"à secretaria municipal de educação - sme o encaminhamento de educador infantil para a turma de nível ii do cmei maria nazaré da costa galvão, localizado no bairro de lagoa azul. ",00945/2019,psl,vera. eleika bezerra 
398,"à secretaria municipal de educação - sme melhorias estruturais no prédio do cmei santa cecília, localizado na zona norte de natal. ",00946/2019,psl,vera. eleika bezerra 
399,"solicitando a recuperação da academia da terceira idade no parque da cidade dom nivaldo monte, situada no estacionamento que dá acesso ao bairro cidade nova. ",01004/2019,requer,ver. felipe alves œ mdb assunto:      
400,"solicitando serviço de recapeamento asfáltico, na avenida solange nunes do nascimento, bairro cidade nova, natal/rn. ",01025/2019,requer,ver. felipe alves œ mdb assunto:      
401,"ofício solicitando a implantação de lombadas nas rua são miguel e avenida solange nunes do nascimento, ambas no bairro cidade nova, natal/rn. ",01026/2019,requer,ver. felipe alves œ mdb assunto:      
402,"solicitando o concerto de galerias, na av. cap. mour golveia, próximo ao complexo judiciário, no bairro de potilândia. ",00983/2019,requer,ver. franklin capistrano- psb assunto:      
403,"solicitando a ronda policial no largo interventor ubaldo bezerra, no bairro de candelária. ",00984/2019,requer,ver. franklin capistrano- psb assunto:      
404,"solicitando uma faixa de pedestre entre a agaé e a orto-rio, no bairro de candelária. ",00985/2019,requer,ver. franklin capistrano- psb assunto:      
405,"solicitando a limpeza na rua elias de souza, conjunto boa vista, bairro planalto, ao lado do cmei clara camarão, natal/rn. ",01019/2019,requer,ver. fúlvio saulo œ sd assunto:      
406,"municipal de saúde, solicitando ampliação do trabalho dos agentes de endemias, no controle de arboviroses no bairro do planalto, natal/rn. ",01020/2019,requer,ver. fúlvio saulo œ sd assunto:      
407,"solicitando a poda de galhos e raízes das árvores na área interna da policlínica do bairro da cidade da esperança, natal/rn. ",01021/2019,requer,ver. fúlvio saulo œ sd assunto:      
408,"- requer que seja enviado ofício à semsur, solicitando que seja realizada a manutenção de iluminação e limpeza na praça localizada na avenida dr. joão medeiros filho (em frente ao mercadinho são miguel e igreja assembleia de deus). cep.: 59122-200. bairro redinha. ",01028/2019,sd,ver. klaus araújo 
409,"- requer que seja enviado ofício à semsur, solicitando que seja realizada a manutenção de iluminação e limpeza na praça localizada na rua trovador gumercino saraiva (em frente ao nº 140). village das dunas œ pajuçara. cep: 59122-140. ",01029/2019,sd,ver. klaus araújo 
410,"- requer que seja enviado ofício à sel, solicitando que seja realizada a reforma da quadra esportiva no conjunto village das dunas œ bairro: pajussara. ",01030/2019,sd,ver. klaus araújo 
411,"de natal, que seja enviado ofício à companhia de serviços urbanos de natal (urbana), solicitando o serviço de limpeza da boca de lobo e da lagoa, localizada na av. brigadeiro gomes ribeira, no bairro nova descoberta. ",00991/2019,requer,ver. kleber fernandes- pdt assunto:      
412,"de natal, que seja enviado ofício à secretaria municipal de serviços urbanos (semsur), solicitando o serviço de capinação e limpeza dos canteiros, localizados no bairro de morro branco. ",00992/2019,requer,ver. kleber fernandes- pdt assunto:      
413,"de natal, que seja enviado ofício à secretaria municipal de serviços urbanos (semsur), solicitando a instalação de braços de luminárias na ubs (unidade básica de saúde), localizada na rua do pastoril, no bairro nova natal. ",00993/2019,requer,ver. kleber fernandes- pdt assunto:      
414,"solicitando a pavimentação da rua tenente claudionor amaro de oliveira, bairro potengi. esta rua fica próxima ao kintal ii e ao seis em ponto, na zona norte de natal. ",01006/2019,requer,ver. luiz almir œ  sem partido  assunto:      
415,"solicitando a pavimentação da rua josé fernandes da silva, bairro potengi. esta rua fica próxima ao kintal ii e ao seis em ponto, na zona norte de natal. ",01007/2019,requer,ver. luiz almir œ  sem partido  assunto:      
416,"solicitando a recuperação das lombadas presentes na rua florestal, bairro de mãe luiza. após a execução das obras de saneamento, as mesmas encontram-se deterioradas. ",01012/2019,requer,ver. luiz almir œ  sem partido  assunto:      
417,"nos postes b4 -207 e b4 -208 r juçara, soledade l ",00883/2019,requer,ver. maurício gurgel œ psol assunto:      
418,buraco rua maristela alves felipe camarão ,00893/2019,requer,ver. maurício gurgel œ psol assunto:      
419,maio de 2019 às 09:00 hs. ,00951/2019,requer,ver. maurício gurgel œ psol assunto:      
420,"- requer que seja enviado ofício à semsur, solicitando iluminação do poste a2 718, localizado na rua chico mendes, bairro nossa senhora da apresentação. ",00970/2019,psd,ney lopes júnior 
421,"solicitando a instalação de poço de visita na rua teca sales, próximo/ou em frente a avenida. da integração œ bairro candelária, natal/rn. ",01040/2019,requer, vera. nina souza- pdt assunto:      
422,"- requer que seja enviado ofício à sttu, solicitando a instalação de uma placa de sinalização para carga e descarga avenida. governador antonio melo e souza, próximo/ou em frente a l&b produtos para limpeza œ bairro pajuçara, natal/rn ",01041/2019,pdt,vera. nina souza 
